question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What type of insurance is required to undertake internships?,a student's own insurance,0.5378762963245142,0.40044788030528233,0.35388565969112207,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership."
How do students under 28 obtain the required internship insurance?,by completing a work placement,0.33026888378502467,0.4533750694115951,0.5882704125834993,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.
What must students over 28 do to obtain internship insurance?,apply for an internship,0.35544543517953203,0.04379811109663701,0.11607832863809676,They must purchase a voluntary insurance policy.,Students over 28 must purchase a voluntary intership insurance policy during or after registration.
What is the minimum length allowed for the internship final report?,1 page,0.4678000970347494,0.19271938894199278,0.11619756593909936,15 pages.,The minumum length of the intership report is 15 pages.
What is the maximun length allowed for the internship final report?,1200 words,0.35544905712575153,0.12347828264314152,0.09146237978726064,30 pages.,The maximum length of the intership report  is 30 pages.
How many modalities of the Bachelor’s Thesis are defined?,three,0.1409252492238055,0.08401051388759048,0.06520126790244608,Four modalities.,There are four modalities of the Bachelor’s Thesis.
Can a student carry out the Bachelor’s Thesis with an external company?,no,0.2021112840156014,0.12144870142006149,0.018946835214090428,Yes.,Students can carry out the Bachelor's Thesis with an external company.
Can a student carry out the Bachelor’s Thesis during the exchange?,no,0.18605608045274824,0.12144870142006149,0.012538507322167556,Yes.,Students can carry out the Bachelor's Thesis during the exchange.
What is the maximum number of students allowed for a Bachelor’s Thesis group?,6,0.13490089079740544,0.06257112665220357,0.036863270173636,Two students.,"The Bachelor’s Thesis must be done individually, with exceptions allowing groups of two students."
What is the maximum number of pages of the Bachelor's Thesis?,"2,000",0.18835665711652708,0.07896591555522775,0.029387601342891787,50 pages.,The Bachelor's Thesis can be a maximum of 50 pages.
How many hours does a student have to dedicate to their final degree project?,a minimum of ten hours,0.4630500203264744,0.1264898724286766,0.1100321527251428,450 hours.,They must dedicate a total of 450 hours to the Bachelor's Thesis.
Who evaluates the Bachelor’s Thesis?,the Faculty of Economics and Business,0.26689078050584275,0.043082967003963794,0.028231038581833224,The tribunal.,A tribunal is responsible for evaluating both the report and the defense.
How long does the student's defense of the thesis last?,a year,0.0,0.04894357878997699,0.029775441050280526,15 minuts.,The defense lasts 15 minuts.
How many members compose the Bachelor’s Thesis tribunal?,ten,0.14391210052408587,0.06390307438076699,0.040022739909559825,4 members.,"The tribunal consists of at least four members: a president, a secretary, a member, and a substitute."
How many keywords must the Bachelor’s Thesis include in the abstract?,three,0.1230725552428325,0.060123453281573744,0.04597012690374362,Between 5 and 10 keywords.,The abstract must include between 5 and 10 keywords.
How long should the abstract of the final thesis be?,"2,000 words",0.35607187008329494,0.17658608967597753,0.1387904609468256,Between 200 and 500 words.,The abstract should be between 200 and 500 words.
Where is the Bachelor’s Thesis submitted?,University of Barcelona,0.3166630569204089,0.07142231595778051,0.049772680078902364,Through the dropbox of the Virtual Campus.,They will submit the thesis through the dropbox that will be set up in the TFG area of the Virtual Campus.
How many credits must undergraduate students have completed to participate in mobility programs?,30,0.13699934192210156,0.06904079972009183,0.029812873189000312,60 credits.,They must have completed at least 60 ECTS credits to participate in mobility programs.
How many credits do I have to enroll in at a minimum if I go there for a semester of exchange?,6,0.08929246255584387,0.044627066116778066,0.03261817102451362,Between 23 and 30 ECTS credits.,They must take between 23 and 30 ECTS credits for a semester exchange.
How many ECTS credits are required for a full-year undergraduate mobility stay?,24,0.1035345984999672,0.047440845892911705,0.031265228190599674,Between 46 and 60 ECTS credits.,Between 46 and 60 ECTS credits are required for a full-year mobility stay.
What is the minimum number of credits required if a student has fewer than 60 credits remaining in their degree?,30,0.1320606072906509,0.07427383843741336,0.04086139402618701,15 credits.,The minimum is 15 credits per semester.
What identification document is required to participate in exchange programs?,Student visa,0.409177061075851,0.04234777484784838,0.08540073331937194,NIE or DNI,NIE or DNI is required to participate in exchange programs.
What is the total duration a student can be on exchange for each cycle of study?,6 months,0.45204782056381015,0.15438752022276936,0.09897868601644152,12 months.,The total duration of the mobility per student may not exceed 12 months per cycle of studies
How is the selection made if there is a tie between two or more students?,a secret ballot,0.26332800460976125,0.052667915493322295,0.06501225502414978,They choose the student with the most credits earned.,"If there is a tie between two students, they will choose the student with the most credits earned."
Within how many days must assessment activity grades be published?,within one week,0.28594778294404244,0.11801056361562404,0.08409641235731499,14 calendar days.,Grades must be published no later than 14 calendar days after the assessment or submission.
When must the final course grade be published?,after the final exam,0.0,0.06137715074837665,0.1286475869440597,14 calendar days.,"The final grade must be published within 14 calendar days after the end of continuous assessment, single assessment, or re-evaluation."
How many days before re-evaluation must grades be published?,10,0.10979812268252608,0.052276527481623966,0.03903730376626028,5 calendar days.,Grades must be published at least 5 calendar days before re-evaluation.
What happens if I can't attend an assessment exam due to justified reasons?,I will receive a failing grade,0.2961027223007965,0.054203660955494705,0.06948719732725539,The course coordinator must take the necessary measures to ensure it can take place within the same academic period. ,"If a student can't attend an assessment due to a justified reason, the course coordinator must take the necessary measures to ensure it can take place within the same academic period. "
What minimum grade is required to obtain honor distinction in a course?,a C,0.0,0.07548010785592194,0.0665178737770026,9 or higher.,With a grade of 9.0 or higher may be awarded an honors grade.
What is the maximum percentage of honors allowed in a course?,80%,0.0,0.13040464921031047,0.07529316661464366,5%.,Honors may not exceed 5% of enrolled students.
What does it mean to belong to Group A in a course listed in my academic transcript?,enrolled in the course,0.0,0.1036864048553919,0.09261145689632186,Indicates that the student ranks among the top 10% of students who passed the course over the last two academic years.,Being in Group A indicates that the student ranks among the top 10% of students who passed the course over the last two academic years.
Can a passed course be re-evaluated?,yes,0.19392175946418969,0.09965302224693247,0.5185298217848876,No.,A passed course can not be re-evaluated unless the student formally waives the passing grade.
Where must the grade waiver be submitted?,the Student Services Office,0.2688502833071041,0.06956360325208759,0.07282739355117226,It must be submitted in writing to the instructor during the grade review period.,The grade waiver must be submitted in writing to the instructor during the grade review period.
What happens if a student commits an irregularity during an assessment?,they will be disqualified,0.279310062281086,0.08376157533694631,0.09620785857586314,The grade of this assessment will be 0.,The grade of the assessment will be 0 if the student commit an irregularity.
What is credit recognition in university studies?,Certificate,0.213929499948733,0.09309014052649424,0.09309014052649424,Credit recognition is the acceptance of credits obtained in previous official studies that count toward another official degree program.,Credit recognition is the acceptance of credits obtained in previous official studies that count toward another official degree program.
Can a student have the credits for the Final Degree Project (TFG) recognized from previous studies?,no,0.22828698753214458,0.5766181352884583,0.7863823703129257,Under no circumstances.,Under no circumstances can the credits corresponding to the Final Degree Project be recognized.
What percentage of the credit fee is applied for recognized credits in 2025–2026?,5%,0.0,0.11514699309086712,0.07322462915456429,0.2,The price of a recognized credit is 20% of the ordinary credit fee.
What fee is required to process a credit recognition request?,a fee of 5% of the amount of the credit,0.5899198882254818,0.06277673952391052,0.0827731916015212,"54,54 euro.","The fee for academic record studies for validation, adaptation, transfer and recognition is 54,54 euro."
How many hours of professional experience must be demonstrated in the last five years to be eligible for the recognition of 6 optional internship credits?,240,0.1344783004183647,0.07427597116404178,0.03303887022655679,1500 hours.,The student must provide documentary evidence of having worked a minimum of 1500 hours during the last five years for the intership credit recognition.
What is the maximum number of optional credits that can be obtained through participation in cultural or representative activities?,3,0.1561215292547895,0.08912834777800949,0.03727073398791775,6 credits.,	The University of Barcelona recognizes 6 credits computable as optional for participation in institutional university activities.
In which two specific enrollment periods of the academic year can a student register for credits that have been officially recognized?,mid-term and end-of-term,0.23000515876331376,0.10299337846210664,0.09141105873840427,September and February.,Credits registrations can be completed during the September enrollment period or during the February enrollment modification/extension period.
How many credits must a student enroll in during the first year if they study full-time?,6,0.08755325548563946,0.07270166436425002,0.029808726714272586,60 credits.,A first-year student must enroll 60 credits for a full-time study.
How many credits must a student enroll in during the first year if they study part-time?,6,0.08238628471288428,0.07489664052940741,0.03459420396233372,30 credits.,A first-year student must enroll 30 credits for a part-time study.
How many credits must a full-time first-year student pass to remain in the degree program?,6,0.13567133834250952,0.0776125813715444,0.03873657001046064,18 credits.,They must pass at least 18 credits to remain in the degree program in a fulll-time study.
How many credits must a part-time first-year student pass to remain in the degree program?,6,0.1326547121573288,0.8378052057024876,0.5629015546888675,6 credits.,They must pass at least 6 credits to remain in the debree in a part-time study.
What is the minimum number of credits a student can enroll in after the first year?,10,0.12805735427002607,0.06519652232621106,0.030598472765505074,18 credits.,"The minimum is 18 credits, unless fewer are needed to complete the degree."
What is the maximum number of credits a student can normally enroll in per academic year?,6,0.1123594606233176,0.07270270465217508,0.05957529234809713,60 credits.,The maximum is 60 credits.
Under what condition can a student enroll in more than 60 credits?,a student has a good academic record,0.36685711607763166,0.09541886837109546,0.09541886837109546,The Head of Studies may authorize enrollment up to 78 credits in exceptional and justified cases.,The Head of Studies may authorize enrollment up to 78 credits in exceptional and justified cases.
How many credits define part-time enrollment from the second year onward?,6,0.12641530972232132,0.05299065878930321,0.04600251226233071,Between 18 and 45 credits.,Part-time enrollment is between 18 and 45 credits from the second year onward.
How many credits define full-time enrollment from the second year onward?,6,0.13187751744509113,0.06753564101077256,0.04923110360362343,Between 46 and 60 credits.,Full-time enrollment is between 46 and 60 credits from the second year onward.
What requirement must students meet if they want to enroll in upper-level required courses?,prerequisites,0.0,0.08638081081717106,0.5875699727448009,They must also enroll in all outstanding required courses from lower-level years.,They must also enroll in all outstanding required courses from lower-level years if the student wants to enroll upper-level courses.
What happens if a student fails to pass at least 50% of their enrolled credits for two consecutive years?,they will be expelled,0.27724894613824036,0.11879771875146476,0.5852888435217929,They cannot remain in the degree program.,They cannot remain in the degree program if a student fails to pass at least 50% of their enrolled credits for two consecutive years.
How many credits must a first-year dual-degree student enroll in full-time?,6,0.08259869436678538,0.05584516804518778,0.02944092427461997,Between 60 and 90 credits.,The first-year of dual-degree students must enroll between 60 and 90 credits.
How many credits must a first-year dual-degree student pass to remain in the program?,6,0.11897949670456272,0.07757612610892949,0.03105291672209752,24 credits.,The first-year of dual-degree students must pass at least 24 credits to remain in the program.
How many credits must a part-time dual-degree student enroll in during the first year?,6,0.09640176628472323,0.0523798020372739,0.03541019181665256,Between 30 and 45 credits.,"In the first-year, thee dual-degree students must enroll between 30 and 45 credits for part-time enrollment."
How many credits must a part-time dual-degree student pass in the first year to remain in the program?,3,0.1176052996955126,0.08096659445420377,0.03855068053248188,12 credits.,Part-time dual-degree student must pass at least 12 credits to remain in the program.
What is the minimum number of credits a dual-degree student can enroll in after the first year?,20,0.1036596038029443,0.06463473377107484,0.034784624503688,30 credits.,"After the first year, dual-degree students must enroll a minimum number of 30 credits, unless fewer are required to finish the degree."
What is the maximum number of credits a dual-degree student can enroll in per academic year?,15,0.0969324066505325,0.0723050491087124,0.03767841765217902,90 credits.,The maximum is 90 credits per year for a full-time student in a dual-degree.
What is the maximum enrollment duration for a full-time student in a 240-credit bachelor’s degree?,four years,0.4650738638432978,0.10087686864172415,0.10154425821618647,A full-time student has a maximum of 7 years of effective enrollment.,A full-time student in a 240-credit bachelor’s degree has a maximum of 7 years of effective enrollment.
What is the maximum enrollment duration for full-time students in dual-degree programs?,three years,0.37620381172350026,0.07243280042031365,0.0751589825976701,A full-time student has a maximum of 8 years of effective enrollment.,A full-time student in a dual degree program has a maximum of 8 years of effective enrollment.
How many additional years are allowed for part-time students?,1,0.1330278211879665,0.08418996747545479,0.03333025503082646,3 years.,Part-time students are granted 3 additional years beyond the standard limit.
How is full-time enrollment defined in terms of credits?,enrolled for a full academic year,0.5211657701402422,0.10407504314906983,0.14878313250549788,An annual average of 46 credits or more during the first five years.,Full-time enrollment is defined as registering an annual average of 46 credits or more during the first five years.
Do awarded or transferred credits count toward retention requirements?,no,0.22710142916967255,0.8870205890530397,0.8028908667057685,No.,"No, awarded and transferred credits do not count as completed credits for retention purposes."
When is a student considered to have withdrawn from their studies?,after a period of less than a year,0.0,0.11953816630901079,0.10436540847768469,When two consecutive academic years pass without enrollment.,A student is considered withdrawn when two consecutive academic years pass without enrollment.
What happens if a student withdraws but has already passed some credits?,they will receive a credit transfer,0.2965422747664988,0.09280982000891931,0.0977712395703356,They may apply for readmission to the dean's office.,They may apply for readmission to the dean's office if a student withdraws but has already passed some credits.
Are mobility students subject to permanence regulations?,no,0.24205402988079713,0.8869831488837536,0.5496794325851713,No.,"No, mobility students are exempt of the permanence regulation during the year they study at another university."
What happens if a student does not meet permanence conditions?,he/she will be dismissed,0.0,0.10072958825252633,0.08633519154579736,They must withdraw from the program.,They must withdraw from the program if they don't meet permanence conditions.
How many computer labs are available at the Faculty?,0,0.14159246364375444,0.08427379406292627,0.036738599549328434,15.,There are fifteen computer labs at the faculty.
Where are the computer labs located?,Barcelona,0.128598500790484,0.01375728946457737,0.013949073241163878,"They are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696.","The computer labs are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696."
Who can access the computer labs?,students,0.0,0.09640813013444792,0.07927074394311995,Only members of the University.,Only members of the University who identify themselves as such can acces to the computer labs.
What are the opening hours of the computer labs during the academic term?,24 hours,0.1497882404523398,0.10680217835893616,0.08008232388650072,From 8:00 AM to 9:00 PM.,The computer labs are open from 8:00 AM to 9:00 PM.
How many study rooms are available at the Faculty?,0,0.11481136367446414,0.0438139044368646,0.02828409578487236,Ten rooms.,There are ten study rooms at the faculty.
Where are the study rooms located?,Barcelona,0.16294041312213914,0.008683713343914486,0.008679647203658635,"Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690.","Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690."
What sports facilities are available through the UB Sports Service?,swimming pool,0.16931635947390414,0.2696893377345117,0.26332890616907534,"Facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track.","UB Sport Service facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track."
How much does it cost to rent a locker for an academic year?,€20,0.18255491936405174,0.12565348013915592,0.3731535999265386,11 euros.,The locker costs 11 euros per academic year.
What must students provide when renting a locker?,their student card,0.5475480835116483,0.06919839446898918,0.07186349805252354,Their own lock.,They must provide their own lock when they rent a locker.
What types of events can Faculty spaces be rented for?,conferences,0.0,0.35871756448784514,0.35961287371024026,"They can be rented for conferences, lectures, exams, commercials, and films.","The faculty spaces can be rented for conferences, lectures, exams, commercials, and films."
How can the Faculty spaces be rented?,by the tenant,0.0,0.08354981657146647,0.07906033073389658,They can be rented by the hour or by the day.,The faculty spaces can be rented by the hour or by the day.
Who can access the library on weekends and holidays?,students,0.0,0.08055048700782384,0.05456199406705361,Only members of the University of Barcelona community.,Only members of the University of Barcelona community can access the library on weekends and holidays.
Which external institutions' members can also access the library?,University of Oxford,0.3103419602539724,0.07102573458866378,0.06411064946723796,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement.,Members of Catalan public universities and the National Library of Catalonia under the CSUC agreement can access the library.
What happens when the library reaches its capacity?,it will be too full,0.0,0.03580710286980416,0.44546742153636476,Access is prioritized for members of the UB community.,Access is prioritized for members of the UB community when the library reaches its capacity.
How many bars are available at the Faculty?,0,0.1788315539078061,0.08720214961073805,0.03664650434480956,Two.,There are two bars at the faculty.
Where are the bars located?,Barcelona,0.20653447793592397,0.02069949175918087,0.05231907563213003,One is in Building 690 and the other in Building 696.,The bar are located in Building 690 and the other in Building 696.
Until what time are the bars open?,until midnight,0.0,0.09612083362887347,0.09939115746121643,8:00 PM.,The bar service are open until 8:00 PM.
When does the scholarship application period usually take place?,in the spring,0.0,0.5939947461515812,0.5855615165483535,The application period usually runs from late March to mid-May each year.,The scholarship application period usually runs from late March to mid-May each year.
Where must students submit the scholarship application?,UB,0.0,0.07137369564534544,0.033662243214289914,On the AGAUR website.,Students must apply to the scholarship using the Generalitat form available on the AGAUR website.
What should students do if they are unsure about what they will study when applying for the scholarship?,apply to other schools,0.0,0.12195664046698144,0.11687650428468346,They should still apply within the deadline and list the programs they consider most likely.,"If they are unsure about what to study, they should still apply the scholarship within the deadline and list the programs they consider most likely."
Can students modify their study choices after submitting the scholarship application?,no,0.24301537217599825,0.08617877224092968,0.0491396612433367,"Yes, in September.","Yes, in September the form reopens and students can modify their study choices if necessary."
What does the tuition scholarship cover?,tuition,0.4614290537442091,0.4799017067052763,0.5100340849674411,It consists of an exemption from the public fee for academic services for credits enrolled for the first time.,The tuition scholarship cover an exemption from the public fee for academic services for credits enrolled for the first time.
What is the minimum amount for the variable scholarship?,"$2,000",0.39752868357055543,0.0638350959572003,0.08220305184052401,60 euros.,The minimum variable amount is €60.
Which factors determine the variable scholarship amount?,a student's academic record,0.3223417528268813,0.08671700874701557,0.08201152064360433,"It depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry.","The variable amount depends on family income, the student's GPA, and the total scholarship budget allocated by the Ministry."
What fixed scholarship amounts can students receive?,"50,000",0.14604430373891222,0.05514341038175378,0.052427420219578566,"Students may receive €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence.","Students may receive a fixed scholarship of €1,700 for income, €2,700 for residency, and between €50 and €125 for academic excellence."
How many credits must a student enroll in to be eligible for a scholarship?,a minimum of 30 credits,0.658729240843617,0.9161477203426696,0.9245450252383494,30 credits.,Students must enroll in at least 30 credits to be eligible for a scholarship.
Who receives the tuition scholarship?,the student,0.0,0.8336078237029938,0.833602222915533,Everyone who is awarded the scholarship receives the tuition scholarship.,Everyone who is awarded the scholarship receives the tuition scholarship.
Who can receive the academic excellence scholarship?,a student,0.0,0.6170326497088052,0.0917646412889276,Only students enrolled in full-time studies.,Only students enrolled in full-time studies can receive the academic excellence scholarship.
Which income threshold allows students to receive the fixed income amount?,"15,000",0.21815990143807243,0.051100272432142005,0.03632276826524525,Only students in income threshold 1.,Only students in income threshold 1 can receive the fixed amount.
What scholarship components can students in income threshold 2 receive?,a scholarship component,0.27424118146606663,0.08812866990687862,0.10042907259061415,They receive the residency amount and the variable amount.,Studnets in income threshold 2 can receive the residency amount and the variable amount.
What scholarship amounts can students enrolled in 48 to 59 credits receive?,"$2,000",0.29727614816838877,0.08804633787855885,0.08806334651354931,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.,They can receive a fixed income-based award of €350 and a fixed residency-based award of €350.
What scholarship amount do students enrolled in 30 to 47 credits receive?,"$2,000",0.30424096650970744,0.07394101223780312,0.06382124742238394,They only receive the minimum variable award.,Students enrolled in 30 to 47 credits only receive the minimum variable award.
What is required for non-EU applicants to be eligible for the scholarship?,a bachelor's degree,0.3091473651322559,0.04873395340795105,0.05050146636387228,They must have a residence permit in Spain (NIE or TIE).,They must have a residence permit in Spain (NIE or TIE) to apyly for the scholarship.
What nationality requirement must scholarship applicants meet?,Spanish,0.1637529641846038,0.580768078070819,0.4505692314014444,They must be Spanish citizens or nationals of a European Union member state.,They must be Spanish citizens or nationals of a European Union member state to apply for the scholarship.
Can a student apply for the scholarship if they already hold a degree of the same or higher level?,yes,0.16448755997502437,0.05866107485321626,0.04113295819594346,"No, they cannot apply.","No, they cannot apply for the scholarship if they already hold a degree of an equal or higher level."
What academic requirement must second-year students meet to receive the scholarship?,a minimum grade of B-,0.4538560013291916,0.11843410223259579,0.11026440731030324,They must pass at least 65% of the credits they enrolled in.,They must pass at least 65% of the credits they enrolled in to receive the scholarship.
What happens if a student cancels their enrollment or withdraws from studies without completing the final year project within two years?,they will be unable to continue their studies,0.5258162677000785,0.11109818062208807,0.1130276287261278,"They must return all awarded aid, including the tuition scholarship.","If a student cancels their enrollment or withdraws from studies without completing the final year project within two years, they must return all awarded aid, including the tuition scholarship."
What happens if a student does not pass at least 40% of the enrolled credits?,he/she will be expelled,0.28449957446609314,0.08658367981290357,0.07394251103247454,They must return the awarded aid except for the tuition scholarship.," If a student does not pass at least 40% of the enrolled credits, they must return the awarded aid except for the tuition scholarship."
What tuition reduction do students from a general-category large family receive?,50%,0.0,0.6058409534394286,0.4613536124501652,They receive a 50% reduction in tuition fees for enrolled credits.,"General categpry large family receive a 50% reduction in tuition fees for enrolled credits, as well as in academic record management and certificate issuance fees."
For which credits does the first-year exemption for honors students apply?,introductory statistics,0.25076923424792164,0.07354217090367883,0.062294973976616756,To all credits in which they enroll for the first time during the first year of their official university studies.,It applies to all credits in which they enroll for the first time during the first year of their official university studies.
What level of disability entitles a student to a tuition fee exemption?,a student with a permanent and severe disability,0.5981407788609735,0.05630980451473311,0.13675508462054325,33% or higher.,Students with a disability degree of 33% or higher are entitled to a tuition fee exemption.
Are victims of terrorist acts entitled to tuition fee exemptions?,no,0.17652876583260277,0.1214448091020968,0.02735903194787311,Yes.,"Yes, victims of terrorist acts, as well as their children and spouse, are entitled to tuition fee exemptions."
Do victims of gender-based violence qualify for tuition fee exemptions?,no,0.19920376910159213,0.12144870142006149,0.027321272392428826,Yes.,"Yes, victims of gender-based violence, both within and outside an intimate partner relationship, and their dependent children are entitled to tuition fee exemptions."
How is the tuition exemption applied for credits with honors in university studies?,it is applied to the full tuition,0.0,0.12812802583696642,0.12812643756745912,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.,Students receive an exemption from tuition fees for a number of credits equivalent to those in which they obtained honors.
