question,answer,answer_relevancy,answer_correctness_SA,answer_correctness_LA,SA,LA
What is the deadline for internship enrollment extension?,"I am sorry, I do not have access to real-time information, including specific deadlines for university programs or events.  To find the deadline for internship enrollment extension, I recommend checking the official website of the Faculty of Economics and Business at the University of Barcelona.",0.0,0.0953103790565014,0.3987400688505602,Around May 31 of the academic year.,The deadline for internship enrollment extension is around 31 May. of the academic year.
Can a student close their file if they have completed all credits but are still doing extracurricular internships?,"No, a student cannot close their file just because they have completed all credits, even if they are still doing extracurricular internships.",0.9762886896401413,0.44470935304446085,0.5018138534878003,No.,"No, the student cannot close their file until the internship end date has passed."
What percentage of the final internship grade corresponds to the company supervisor’s evaluation?,I am not able to provide specific percentages for how much of a final internship grade is determined by the company supervisor's evaluation.  This kind of information would vary depending on the specific program and university policies.,0.0,0.07852000074996826,0.16572039912031136,40%.,The company supervisor’s evaluation accounts for 40% of the final grade.
What percentage of the final grade corresponds to the evaluation of the final report?,I am not able to provide specific percentages for grading components as they can vary significantly between courses and universities.,0.0,0.07787136826121788,0.11639456570966919,40%.,The evaluation of the final report accounts for 40% of the final grade.
What percentage of the final grade corresponds to the academic supervisor’s monitoring?,I am unable to provide specific percentages for how much of a final grade is allocated to academic supervisor monitoring as that information would vary depending on the program and university policies.,0.0,0.07577509392923605,0.18991934608103922,20%.,The academic supervisor monitoring accounts for 20% of the final grade.
When is internship registration processed?,I am not able to provide specific information about internship registration processing times as I do not have access to real-time data or internal university procedures.,0.0,0.07612502619716123,0.1285410929191686,It is processed after the training project has been approved.,The intership registration is processed after the training project has been approved and within fifteen days after it becomes active in GIPE.
Can students carry out international internships?,"Yes, many universities, including the Faculty of Economics and Business at the University of Barcelona, encourage and support students in pursuing international internships.",0.8246028451892972,0.4313091662688405,0.5147088492519174,Yes.,"All undergraduate, master's, or postgraduate students with an active enrollment for the current academic year can carry out international intership."
What type of insurance is required to undertake internships?,I am not sure what specific insurance is required for internships as it varies depending on the internship program and location.,0.0,0.12506025346323968,0.33918993502393785,"Students must have insurance covering medical care, accidents, liability, and repatriation.","Students must have insurance covering medical care, accidents, liability, and repatriation to undertake intership."
How do students under 28 obtain the required internship insurance?,Students under 28 typically obtain internship insurance through their university or by enrolling in a specific program that offers it.,0.968255015173972,0.4343249712982759,0.5925086435938461,They obtain it through the mandatory insurance purchased when enrolling each academic year.,Students under 28 years obtain their intership insurance through the mandatory insurance purchased when enrolling each academic year.
What must students over 28 do to obtain internship insurance?,Students over 28 years old would need to contact their university's career services or insurance department to inquire about obtaining internship insurance.,0.9620531560327135,0.09869260261052101,0.4456064315140893,They must purchase a voluntary insurance policy.,Students over 28 must purchase a voluntary intership insurance policy during or after registration.
What is the minimum length allowed for the internship final report?,I am not able to provide specific requirements like the minimum length for an internship final report as those vary depending on the program and institution.,0.0,0.06124477624490222,0.17059475715764327,15 pages.,The minumum length of the intership report is 15 pages.
What is the maximun length allowed for the internship final report?,I am not sure about the exact maximum length allowed for an internship final report at the UB.,0.0,0.07983021470811237,0.1728947946114249,30 pages.,The maximum length of the intership report  is 30 pages.
How many modalities of the Bachelor’s Thesis are defined?,The Faculty of Economics and Business at the University of Barcelona defines **four** modalities for the Bachelor's Thesis.,0.8254405434977904,0.8402049098431459,0.9389252332417259,Four modalities.,There are four modalities of the Bachelor’s Thesis.
Can a student carry out the Bachelor’s Thesis with an external company?,"Yes, students at the Faculty of Economics and Business of the University of Barcelona can often carry out their Bachelor's Thesis with an external company.",0.8196824564960202,0.8002959915734088,0.9471600321839995,Yes.,Students can carry out the Bachelor's Thesis with an external company.
Can a student carry out the Bachelor’s Thesis during the exchange?,"It is possible for students to carry out their Bachelor's Thesis during an exchange program, but it would need to be approved by both the student's home university and the host university.",0.947196171225332,0.5407543474502036,0.7143842576899228,Yes.,Students can carry out the Bachelor's Thesis during the exchange.
What is the maximum number of students allowed for a Bachelor’s Thesis group?,I am not able to provide specific information about the maximum number of students allowed in a Bachelor's Thesis group at the UB.  My knowledge is based on general data and I do not have access to real-time university policies or regulations.,0.0,0.07346712694236733,0.14132422837330205,Two students.,"The Bachelor’s Thesis must be done individually, with exceptions allowing groups of two students."
What is the maximum number of pages of the Bachelor's Thesis?,The maximum number of pages for a Bachelor's Thesis at the UB is 80.,0.9069011046453411,0.11818822408241526,0.1796017542328986,50 pages.,The Bachelor's Thesis can be a maximum of 50 pages.
How many hours does a student have to dedicate to their final degree project?,The amount of time dedicated to a final degree project varies greatly depending on factors like the project's complexity and individual study habits.,0.0,0.06835121410479904,0.1217921858194629,450 hours.,They must dedicate a total of 450 hours to the Bachelor's Thesis.
Who evaluates the Bachelor’s Thesis?,The Bachelor's thesis is evaluated by a committee consisting of a professor from the Department of Economics and Business and another faculty member who specializes in the student's research area.,0.9798058776321157,0.05916350970032178,0.0806225324582969,The tribunal.,A tribunal is responsible for evaluating both the report and the defense.
How long does the student's defense of the thesis last?,"The duration of a student's thesis defense can vary depending on the specific program and topic, but it typically lasts between 30 minutes to an hour.",0.9055787638026023,0.09256803887455119,0.4106632302334563,15 minuts.,The defense lasts 15 minuts.
How many members compose the Bachelor’s Thesis tribunal?,"The composition of the Bachelor's Thesis tribunal varies depending on the specific program, but it typically consists of three to five members.",0.780420130766395,0.4453800009335588,0.32828920449360827,4 members.,"The tribunal consists of at least four members: a president, a secretary, a member, and a substitute."
How many keywords must the Bachelor’s Thesis include in the abstract?,There isn't a specific number of keywords required for the abstract of a Bachelor's thesis at UB.,0.0,0.1172697652730453,0.15915046618270595,Between 5 and 10 keywords.,The abstract must include between 5 and 10 keywords.
How long should the abstract of the final thesis be?,The length of an abstract for a final thesis at the UB typically ranges from 150 to 250 words.,0.7755533836690223,0.1305870202794309,0.17207523998370947,Between 200 and 500 words.,The abstract should be between 200 and 500 words.
Where is the Bachelor’s Thesis submitted?,The Bachelor's thesis is submitted to the Department of Statistics at the Faculty of Economics and Business of the University of Barcelona.,0.9843904793975057,0.06989563384033991,0.09228994041483442,Through the dropbox of the Virtual Campus.,They will submit the thesis through the dropbox that will be set up in the TFG area of the Virtual Campus.
How many credits must undergraduate students have completed to participate in mobility programs?,"I am not able to provide specific information about credit requirements for mobility programs at the UB.  To find that information, I would recommend checking the official website or contacting the relevant department at the Faculty of Economics and Business.",0.0,0.0797225710408013,0.12181046684540045,60 credits.,They must have completed at least 60 ECTS credits to participate in mobility programs.
How many credits do I have to enroll in at a minimum if I go there for a semester of exchange?,I can't tell you exactly how many credits you need to enroll in for a semester exchange at the UB because that depends on your individual program and course requirements.,0.0,0.12378103224600255,0.16003462439151536,Between 23 and 30 ECTS credits.,They must take between 23 and 30 ECTS credits for a semester exchange.
How many ECTS credits are required for a full-year undergraduate mobility stay?,I am not able to provide specific information about the number of ECTS credits required for a full-year undergraduate mobility stay.  That would depend on the individual program and university policies.,0.0,0.14331922159191898,0.2020202239390643,Between 46 and 60 ECTS credits.,Between 46 and 60 ECTS credits are required for a full-year mobility stay.
What is the minimum number of credits required if a student has fewer than 60 credits remaining in their degree?,I can't give you a specific minimum credit requirement without knowing the exact program and course requirements for your degree at UB.  Each program has its own unique structure.,0.0,0.08773672856007524,0.13524677583180045,15 credits.,The minimum is 15 credits per semester.
What identification document is required to participate in exchange programs?,"To participate in exchange programs, you typically need to provide a valid passport or national ID card.",0.780655214113104,0.06674025751588133,0.15522517308368933,NIE or DNI,NIE or DNI is required to participate in exchange programs.
What is the total duration a student can be on exchange for each cycle of study?,I am not able to provide specific information about the total duration of an exchange program for each cycle of study at the University of Barcelona.  My knowledge is based on general data and I do not have access to real-time university policies.,0.0,0.04892853518403806,0.13078622019647682,12 months.,The total duration of the mobility per student may not exceed 12 months per cycle of studies
How is the selection made if there is a tie between two or more students?,"If there's a tie between two or more students, the selection process would likely involve a random draw to determine the final placement.",0.0,0.14742475576759864,0.48221662948042493,They choose the student with the most credits earned.,"If there is a tie between two students, they will choose the student with the most credits earned."
Within how many days must assessment activity grades be published?,I am not sure about the exact number of days for publishing assessment activity grades within the context of the Faculty of Economics and Business at the University of Barcelona.,0.0,0.08138139493244338,0.13326709569613612,14 calendar days.,Grades must be published no later than 14 calendar days after the assessment or submission.
When must the final course grade be published?,"The final course grade is usually published at the end of the semester, typically within a few weeks after the last exam or assessment period.",0.95375230189569,0.05630732270606725,0.17977221890551204,14 calendar days.,"The final grade must be published within 14 calendar days after the end of continuous assessment, single assessment, or re-evaluation."
How many days before re-evaluation must grades be published?,I am not sure about the exact number of days before re-evaluation that grades need to be published.  It would depend on the specific policies of the university.,0.0,0.08726896911994725,0.17066096592273652,5 calendar days.,Grades must be published at least 5 calendar days before re-evaluation.
What happens if I can't attend an assessment exam due to justified reasons?,"If you have justifiable reasons for missing an assessment exam, you should contact your professor or instructor as soon as possible to discuss potential options like taking a makeup exam or receiving alternative assessment methods.",0.7012368180212275,0.09538216329623317,0.16428933956418473,The course coordinator must take the necessary measures to ensure it can take place within the same academic period. ,"If a student can't attend an assessment due to a justified reason, the course coordinator must take the necessary measures to ensure it can take place within the same academic period. "
What minimum grade is required to obtain honor distinction in a course?,I can't tell you the exact minimum grade for an honor distinction because that information would depend on the specific course and grading system used by the UB.,0.0,0.06520033334647675,0.1294572291486156,9 or higher.,With a grade of 9.0 or higher may be awarded an honors grade.
What is the maximum percentage of honors allowed in a course?,I can't tell you the exact maximum percentage of honors allowed in a course because that information varies depending on the specific program and university.,0.0,0.07369480097034721,0.16589143882743146,5%.,Honors may not exceed 5% of enrolled students.
What does it mean to belong to Group A in a course listed in my academic transcript?,Belonging to Group A in a course on your academic transcript means you were enrolled in that specific section or group of students for that particular course.,0.9449100931042363,0.10856334043001188,0.16152659515714413,Indicates that the student ranks among the top 10% of students who passed the course over the last two academic years.,Being in Group A indicates that the student ranks among the top 10% of students who passed the course over the last two academic years.
Can a passed course be re-evaluated?,"In general, yes, some universities allow students to re-evaluate passed courses if they have concerns about their original grade or want to improve their overall academic record.",0.8063106074214744,0.0524038189867962,0.5603581307329593,No.,A passed course can not be re-evaluated unless the student formally waives the passing grade.
Where must the grade waiver be submitted?,I would need to refer to the specific guidelines provided by the University of Barcelona for grade waivers to determine where they should be submitted.,0.0,0.11319392638509268,0.15095805523303144,It must be submitted in writing to the instructor during the grade review period.,The grade waiver must be submitted in writing to the instructor during the grade review period.
What happens if a student commits an irregularity during an assessment?,"If a student commits an irregularity during an assessment, they may face disciplinary action from the university, which could range from warnings to suspension or even expulsion depending on the severity of the infraction.",0.8957715929457967,0.08454613207883999,0.1684722908082716,The grade of this assessment will be 0.,The grade of the assessment will be 0 if the student commit an irregularity.
What is credit recognition in university studies?,"Credit recognition in university studies refers to the process by which prior learning experiences, such as those gained through work or other educational programs, can be evaluated and translated into academic credits that can be applied towards a degree program.",0.9692402605174683,0.20382337193486444,0.20382337193486444,Credit recognition is the acceptance of credits obtained in previous official studies that count toward another official degree program.,Credit recognition is the acceptance of credits obtained in previous official studies that count toward another official degree program.
Can a student have the credits for the Final Degree Project (TFG) recognized from previous studies?,"Yes, in some cases, students can have credits for their Final Degree Project (TFG) recognized from previous studies, depending on the specific requirements of the program and the university's policies.",0.0,0.023983627004965813,0.15140326249983332,Under no circumstances.,Under no circumstances can the credits corresponding to the Final Degree Project be recognized.
What percentage of the credit fee is applied for recognized credits in 2025–2026?,I am unable to provide specific financial information like the percentage of credit fees applied for recognized credits in 2025-2026.  My knowledge about that is limited as it would be dependent on the policies set by the University of Barcelona.,0.0,0.06162818110440121,0.09579362463609468,0.2,The price of a recognized credit is 20% of the ordinary credit fee.
What fee is required to process a credit recognition request?,"I am sorry, I do not have access to specific information about fees for processing credit recognition requests at the University of Barcelona.",0.0,0.04721194865489609,0.41801631129502775,"54,54 euro.","The fee for academic record studies for validation, adaptation, transfer and recognition is 54,54 euro."
How many hours of professional experience must be demonstrated in the last five years to be eligible for the recognition of 6 optional internship credits?,"I am unable to provide specific information about the exact number of hours required for the recognition of 6 optional internship credits.  To get that information, I would recommend checking the official guidelines or contacting the relevant department at the Faculty of Economics and Business of the University of Barcelona.",0.0,0.080173828663007,0.13600005202350393,1500 hours.,The student must provide documentary evidence of having worked a minimum of 1500 hours during the last five years for the intership credit recognition.
What is the maximum number of optional credits that can be obtained through participation in cultural or representative activities?,I am unable to provide specific information about the maximum number of optional credits available for cultural or representative activities at the UB.  My knowledge is based on general data and I do not have access to university-specific policies.,0.0,0.0994617533946736,0.13314500981206023,6 credits.,	The University of Barcelona recognizes 6 credits computable as optional for participation in institutional university activities.
In which two specific enrollment periods of the academic year can a student register for credits that have been officially recognized?,A student can register for credits that have been officially recognized during the **first registration period** and the **second registration period** of the academic year.,0.7306200618207938,0.08901606924814466,0.1617798995434116,September and February.,Credits registrations can be completed during the September enrollment period or during the February enrollment modification/extension period.
How many credits must a student enroll in during the first year if they study full-time?,"As a statistics student at the UB, I can tell you that the exact number of credits required for a full-time first-year program varies depending on the specific curriculum.",0.0,0.08772588196670232,0.15515314158866989,60 credits.,A first-year student must enroll 60 credits for a full-time study.
How many credits must a student enroll in during the first year if they study part-time?,I can't give you an exact number of credits for part-time students in their first year at UB.  That information would depend on the specific program and course requirements.,0.0,0.10337995136063634,0.15563004523436313,30 credits.,A first-year student must enroll 30 credits for a part-time study.
How many credits must a full-time first-year student pass to remain in the degree program?,I can't give you an exact number of credits for remaining in the degree program.  That information would depend on the specific requirements set by the Faculty of Economics and Business at the University of Barcelona.,0.0,0.10903482675555491,0.11599185580562149,18 credits.,They must pass at least 18 credits to remain in the degree program in a fulll-time study.
How many credits must a part-time first-year student pass to remain in the degree program?,"I can't provide specific credit requirements for remaining in a degree program.  That information would come from the official university policies and regulations, which I don't have access to.",0.0,0.09114291292843815,0.10759097531207693,6 credits.,They must pass at least 6 credits to remain in the debree in a part-time study.
What is the minimum number of credits a student can enroll in after the first year?,"I am not able to provide specific information about credit requirements for students at the University of Barcelona.  To find that information, I would recommend checking the official website or contacting the university directly.",0.0,0.07811135856914832,0.08766257460904002,18 credits.,"The minimum is 18 credits, unless fewer are needed to complete the degree."
What is the maximum number of credits a student can normally enroll in per academic year?,I am not able to provide specific information about the maximum number of credits a student can enroll in per academic year at the UB.  That kind of information would be best found on the official website or by contacting the university directly.,0.0,0.09239736631637405,0.12646782950185786,60 credits.,The maximum is 60 credits.
Under what condition can a student enroll in more than 60 credits?,"A student can enroll in more than 60 credits under special circumstances approved by the university, such as advanced standing or research programs.",0.9718390220158949,0.18562240728934445,0.18562240728934445,The Head of Studies may authorize enrollment up to 78 credits in exceptional and justified cases.,The Head of Studies may authorize enrollment up to 78 credits in exceptional and justified cases.
How many credits define part-time enrollment from the second year onward?,"As a statistics student at the UB, I can tell you that the exact number of credits for part-time enrollment in the second year onwards varies depending on the specific program.",0.0,0.36164761925259997,0.16685485122505725,Between 18 and 45 credits.,Part-time enrollment is between 18 and 45 credits from the second year onward.
How many credits define full-time enrollment from the second year onward?,"From the second year onwards, full-time enrollment typically requires 60 credits per semester.",0.7786260388692611,0.14543191459937874,0.5898401721818449,Between 46 and 60 credits.,Full-time enrollment is between 46 and 60 credits from the second year onward.
What requirement must students meet if they want to enroll in upper-level required courses?,"To be eligible for enrollment in upper-level required courses, students need to have completed all prerequisite courses successfully.",0.9300502361379451,0.17641846417080279,0.5660170729315057,They must also enroll in all outstanding required courses from lower-level years.,They must also enroll in all outstanding required courses from lower-level years if the student wants to enroll upper-level courses.
What happens if a student fails to pass at least 50% of their enrolled credits for two consecutive years?,"If a student fails to pass at least 50% of their enrolled credits for two consecutive years, they would likely be dismissed from the program.",0.0,0.8742812598358268,0.9588057811291737,They cannot remain in the degree program.,They cannot remain in the degree program if a student fails to pass at least 50% of their enrolled credits for two consecutive years.
How many credits must a first-year dual-degree student enroll in full-time?,"As a statistics student at the UB, I can tell you that the number of credits required for a first-year dual-degree student to enroll full-time varies depending on the specific program.",0.0,0.09615912858144339,0.16961935528179822,Between 60 and 90 credits.,The first-year of dual-degree students must enroll between 60 and 90 credits.
How many credits must a first-year dual-degree student pass to remain in the program?,I can't give you an exact number of credits for a first-year dual-degree student to stay in the program.  That information would be specific to the program requirements at the University of Barcelona.,0.0,0.10181881445864305,0.1608890469549715,24 credits.,The first-year of dual-degree students must pass at least 24 credits to remain in the program.
How many credits must a part-time dual-degree student enroll in during the first year?,I am unable to provide specific information about credit requirements for part-time dual-degree students at the University of Barcelona.  My knowledge is based on general data and I do not have access to university-specific policies.,0.0,0.09726686950484846,0.14817099461375854,Between 30 and 45 credits.,"In the first-year, thee dual-degree students must enroll between 30 and 45 credits for part-time enrollment."
How many credits must a part-time dual-degree student pass in the first year to remain in the program?,I am unable to provide specific information about credit requirements for part-time dual-degree students at the University of Barcelona.  My knowledge is based on general data and I do not have access to university-specific policies.,0.0,0.08534134695543381,0.13736061621858492,12 credits.,Part-time dual-degree student must pass at least 12 credits to remain in the program.
What is the minimum number of credits a dual-degree student can enroll in after the first year?,I am unable to provide specific information about credit requirements for dual-degree students at the University of Barcelona.  My knowledge is based on general data and I do not have access to university-specific policies.,0.0,0.0773475826629791,0.13335853472193918,30 credits.,"After the first year, dual-degree students must enroll a minimum number of 30 credits, unless fewer are required to finish the degree."
What is the maximum number of credits a dual-degree student can enroll in per academic year?,"I am not able to provide specific information about the maximum number of credits a dual-degree student can enroll in per academic year at the UB.  To get that information, I would recommend checking directly with the university's admissions or academic advising office.",0.0,0.09534551471491126,0.17807973151099232,90 credits.,The maximum is 90 credits per year for a full-time student in a dual-degree.
What is the maximum enrollment duration for a full-time student in a 240-credit bachelor’s degree?,I am unable to provide specific information about the maximum enrollment duration for a full-time student in a 240-credit bachelor's degree program.  My knowledge is based on general data and I do not have access to real-time university policies or regulations.,0.0,0.14392779071666245,0.40519522946656783,A full-time student has a maximum of 7 years of effective enrollment.,A full-time student in a 240-credit bachelor’s degree has a maximum of 7 years of effective enrollment.
What is the maximum enrollment duration for full-time students in dual-degree programs?,I am not able to provide specific information about the maximum enrollment duration for dual-degree programs at the UB.  My knowledge is based on general data and I do not have access to real-time university policies.,0.0,0.11782924556407373,0.1528729481519223,A full-time student has a maximum of 8 years of effective enrollment.,A full-time student in a dual degree program has a maximum of 8 years of effective enrollment.
How many additional years are allowed for part-time students?,I am unable to provide information about specific regulations or policies regarding part-time study extensions at the University of Barcelona.,0.0,0.04920783587674196,0.12652106342004482,3 years.,Part-time students are granted 3 additional years beyond the standard limit.
How is full-time enrollment defined in terms of credits?,Full-time enrollment in terms of credits typically refers to taking 12 or more credit units per semester.,0.9293411667610955,0.13412667632903164,0.19227679672622294,An annual average of 46 credits or more during the first five years.,Full-time enrollment is defined as registering an annual average of 46 credits or more during the first five years.
Do awarded or transferred credits count toward retention requirements?,I would need to consult the specific policies of the university to determine if awarded or transferred credits count towards retention requirements.,0.0,0.050530651530087366,0.4591099123690109,No.,"No, awarded and transferred credits do not count as completed credits for retention purposes."
When is a student considered to have withdrawn from their studies?,A student is generally considered to have withdrawn from their studies when they officially notify the university in writing that they are no longer attending classes or pursuing their degree program.,1.0,0.1265440961094303,0.1682933528545899,When two consecutive academic years pass without enrollment.,A student is considered withdrawn when two consecutive academic years pass without enrollment.
What happens if a student withdraws but has already passed some credits?,"If a student withdraws but has already passed some credits, they will likely be able to graduate or receive credit for those courses, depending on the university's policies.",0.0,0.1116370771140463,0.43372044260512915,They may apply for readmission to the dean's office.,They may apply for readmission to the dean's office if a student withdraws but has already passed some credits.
Are mobility students subject to permanence regulations?,"As a statistics student at the UB, I believe that mobility students are generally subject to the same permanence regulations as other students enrolled in the program.",0.9023791678897549,0.40429459182394567,0.46668263224232853,No.,"No, mobility students are exempt of the permanence regulation during the year they study at another university."
What happens if a student does not meet permanence conditions?,"If a student does not meet permanence conditions, they may be subject to disciplinary action or expulsion from the university.",0.9626791284072319,0.10590316021713483,0.16564282619069953,They must withdraw from the program.,They must withdraw from the program if they don't meet permanence conditions.
How many computer labs are available at the Faculty?,I am unable to provide that information as I do not have access to real-time data about the facilities at the Faculty of Economics and Business at the University of Barcelona.,0.0,0.02878974845660066,0.073656408429705,15.,There are fifteen computer labs at the faculty.
Where are the computer labs located?,"I'm not sure where the computer labs are located at the UB.  As a student, I would need to check the university website or ask someone in the faculty.",0.0,0.09597022647746431,0.14792761510281024,"They are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696.","The computer labs are located on the ground floor of Tower II of Building 690, the basement of Tower IV of Building 690, and the second floor of Building 696."
Who can access the computer labs?,Students enrolled in courses at the Faculty of Economics and Business at the University of Barcelona have access to the computer labs.,0.41379190784078573,0.6009623009822236,0.15111534547307306,Only members of the University.,Only members of the University who identify themselves as such can acces to the computer labs.
What are the opening hours of the computer labs during the academic term?,"I am sorry, I do not have access to real-time information, including specific details like the opening hours of university facilities.  To find that information, I would recommend checking the UB website or contacting the Faculty of Economics and Business directly.",0.0,0.06960850291912832,0.10047959208640601,From 8:00 AM to 9:00 PM.,The computer labs are open from 8:00 AM to 9:00 PM.
How many study rooms are available at the Faculty?,I am unable to provide that information as I do not have access to real-time data about the Faculty of Economics and Business at the University of Barcelona.,0.0,0.018287087599621787,0.06184177600813544,Ten rooms.,There are ten study rooms at the faculty.
Where are the study rooms located?,"I am sorry, I do not have access to real-time information like building locations or specific facilities on campus.  To find the location of study rooms, I would recommend checking the UB website or contacting the faculty directly.",0.0,0.11061598430040855,0.11061598430040855,"Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690.","Five rooms are on the ground floor of Building 696, two rooms are on the second floor of Building 696, and three rooms are in Building 690."
What sports facilities are available through the UB Sports Service?,"As a statistics student at the UB, I am not able to provide information about specific sports facilities offered by the UB Sports Service.",0.0,0.21610611906189503,0.24008063535443874,"Facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track.","UB Sport Service facilities include a swimming pool, tennis and paddle tennis courts, aerobics and fitness rooms, a soccer field with artificial turf, a rugby field, a multi-purpose gymnasium, and an athletic track."
How much does it cost to rent a locker for an academic year?,"I am unable to provide specific pricing information as I do not have access to real-time data, including rental costs for lockers at the University of Barcelona.",0.0,0.067283562691891,0.13637664759509396,11 euros.,The locker costs 11 euros per academic year.
What must students provide when renting a locker?,Students typically need to provide a deposit or security fee when renting a locker.,0.9680293213353687,0.08663542763934905,0.1764489166975527,Their own lock.,They must provide their own lock when they rent a locker.
What types of events can Faculty spaces be rented for?,"Faculty spaces at the UB can be rented for a variety of events, such as conferences, workshops, seminars, and social gatherings.",0.8548587266572397,0.2800453123498127,0.31464075090994625,"They can be rented for conferences, lectures, exams, commercials, and films.","The faculty spaces can be rented for conferences, lectures, exams, commercials, and films."
How can the Faculty spaces be rented?,I would recommend checking the University of Barcelona's website or contacting the facilities management department for information on renting faculty spaces.,0.705644905739763,0.07821194449756905,0.14046401908044961,They can be rented by the hour or by the day.,The faculty spaces can be rented by the hour or by the day.
