doc_id,chunk_id,posicio,text_chunk,text_chunk_norm
DOC_001,DOC_001_chunk_0010,10,". Exemption from payment is always subject to the discretion of the Dean of the Faculty. The internship agreement may provide that the company or institution remunerate the student, in the manner determined, as a scholarship or study aid. This amount must be indicated in the student's individual training plan for the practicum and must take into account the following: Extracurricular intership must always be remunerated",exemption from payment is always subject to the discretion of the dean of the faculty the internship agreement may provide that the company or institution remunerate the student in the manner determined as a scholarship or study aid this amount must be indicated in the students individual training plan for the practicum and must take into account the following extracurricular intership must always be remunerated
DOC_001,DOC_001_chunk_0011,11,". Optional curricular internships must always be paid. Mandatory curricular internships, although it is recommended that they be paid, may not be. If the intership is remunerated, the minimum is 3 euros. Internships for statistics students are optional, and they can complete up to two.",optional curricular internships must always be paid mandatory curricular internships although it is recommended that they be paid may not be if the intership is remunerated the minimum is 3 euros internships for statistics students are optional and they can complete up to two
DOC_002,DOC_002_chunk_0000,0,Processing of external academic internships,processing of external academic internships
DOC_002,DOC_002_chunk_0001,1,GIPE is the application through which internship offers are posted and the corresponding documentation (agreement and training plan) is managed.,gipe is the application through which internship offers are posted and the corresponding documentation agreement and training plan is managed
DOC_002,DOC_002_chunk_0002,2,"The student can update the information that the company can view (education, languages, work experience, etc.), as well as upload documents such as their resume. New offers are posted on the GIPE daily, and each one is active for one month. Once a student is selected (either through the GIPE or outside the application), the company must request to manage the internship through the GIPE.",the student can update the information that the company can view education languages work experience etc as well as upload documents such as their resume new offers are posted on the gipe daily and each one is active for one month once a student is selected either through the gipe or outside the application the company must request to manage the internship through the gipe
DOC_002,DOC_002_chunk_0003,3,"GAEF is the application used to track and evaluate internships, both curricular and extracurricular. The student accesses it with their UB credentials. The company supervisor logs in with their own credentials, which they can generate or retrieve using the corresponding button on the main page",gaef is the application used to track and evaluate internships both curricular and extracurricular the student accesses it with their ub credentials the company supervisor logs in with their own credentials which they can generate or retrieve using the corresponding button on the main page
DOC_002,DOC_002_chunk_0004,4,". Once the internship is managed and in “active” status in GIPE, the evaluation is generated in GAEF, and the student, academic advisor, and company contact receive an email notification.",once the internship is managed and in active status in gipe the evaluation is generated in gaef and the student academic advisor and company contact receive an email notification
DOC_002,DOC_002_chunk_0005,5,"The deadlines for applying for internships (curricular or extracurricular) require that one week in advance the Career Services Office must have both the company's internship request (properly completed, all correct: prior agreement active and internship offer to GIPE) as well as the student's prior documentation (properly completed, signed, and submitted, all correct): CURRICULAR INTERNSHIPS: ELECTIVE EXCHANGE: you can exchange a previously",the deadlines for applying for internships curricular or extracurricular require that one week in advance the career services office must have both the companys internship request properly completed all correct prior agreement active and internship offer to gipe as well as the students prior documentation properly completed signed and submitted all correct curricular internships elective exchange you can exchange a previously
DOC_002,DOC_002_chunk_0006,6,"submitted, all correct): CURRICULAR INTERNSHIPS: ELECTIVE EXCHANGE: you can exchange a previously enrolled elective course for the internship course:  First-semester courses must be in ACTIVE status in GIPE approximately before November 14 of the academic year",submitted all correct curricular internships elective exchange you can exchange a previously enrolled elective course for the internship course firstsemester courses must be in active status in gipe approximately before november 14 of the academic year
DOC_002,DOC_002_chunk_0007,7,". Second-semester courses must be in ACTIVE status in GIPE approximately before April 30 of the academic year. ENROLLMENT EXTENSION: Around May 31 of the academic year in ACTIVE status in GIPE. For specific dates, please consult the academic year's externship calendar.",secondsemester courses must be in active status in gipe approximately before april 30 of the academic year enrollment extension around may 31 of the academic year in active status in gipe for specific dates please consult the academic years externship calendar
DOC_002,DOC_002_chunk_0008,8,"If undertaking extracurricular internships, the student cannot close their file or request their bachelor's/master's/postgraduate degree until the internship end date has passed.",if undertaking extracurricular internships the student cannot close their file or request their bachelorsmasterspostgraduate degree until the internship end date has passed
DOC_002,DOC_002_chunk_0009,9,"Company supervisor: During the last week of the internship, they must complete the evaluation form (40% of the final grade). Academic supervisor: Must schedule a minimum of two meetings with the student and complete two questionnaires: Monitoring (20% of the final grade) throughout the entire internship period. Evaluation of the final intership report (40% of the final grade) within a maximum of fifteen calendar days from the internship end date",company supervisor during the last week of the internship they must complete the evaluation form 40 of the final grade academic supervisor must schedule a minimum of two meetings with the student and complete two questionnaires monitoring 20 of the final grade throughout the entire internship period evaluation of the final intership report 40 of the final grade within a maximum of fifteen calendar days from the internship end date
DOC_002,DOC_002_chunk_0010,10,. The intership report must have a minimum extension of 15 pages (not counting the annexes) and a maximum of 30 pages.,the intership report must have a minimum extension of 15 pages not counting the annexes and a maximum of 30 pages
DOC_002,DOC_002_chunk_0011,11,"Registration for internships is not done on the same day as regular registration for other courses. Instead, we process it once the corresponding training project has been approved, within a maximum of fifteen days after the project is marked as active in the GIPE.",registration for internships is not done on the same day as regular registration for other courses instead we process it once the corresponding training project has been approved within a maximum of fifteen days after the project is marked as active in the gipe
DOC_002,DOC_002_chunk_0012,12,"All undergraduate, master's, or postgraduate students can do international internships, provided they have an active enrollment for the current academic year (not canceled for non-payment, and have not applied for their degree), during a period without academic activity (for example, during the summer after exams have already ended).",all undergraduate masters or postgraduate students can do international internships provided they have an active enrollment for the current academic year not canceled for nonpayment and have not applied for their degree during a period without academic activity for example during the summer after exams have already ended
DOC_002,DOC_002_chunk_0013,13,"To do internships, it is mandatory to have an insurance policy that provides medical, accident, liability, and repatriation coverage. Students in official degree programs under the age of twenty-eight purchase the mandatory insurance when they enroll each academic year; this policy already includes these coverages",to do internships it is mandatory to have an insurance policy that provides medical accident liability and repatriation coverage students in official degree programs under the age of twentyeight purchase the mandatory insurance when they enroll each academic year this policy already includes these coverages
DOC_002,DOC_002_chunk_0014,14,. Students over the age of twenty-eight and students in the Faculty's own programs must purchase a voluntary insurance policy at the time of registration or purchase it afterward.,students over the age of twentyeight and students in the facultys own programs must purchase a voluntary insurance policy at the time of registration or purchase it afterward
DOC_003,DOC_003_chunk_0000,0,Bachelor’s Thesis,bachelors thesis
DOC_003,DOC_003_chunk_0001,1,"MODALITY OF Bachelor’s Thesis. There are four modalities of Bachelor’s Thesis: Modality A: Bachelor’s Thesis carried out in the teaching centers.  Modality B: Bachelor’s Thesis carried out in companies or entities, associated with an educational cooperation agreement between the company and the university (External Internships program)",modality of bachelors thesis there are four modalities of bachelors thesis modality a bachelors thesis carried out in the teaching centers modality b bachelors thesis carried out in companies or entities associated with an educational cooperation agreement between the company and the university external internships program
DOC_003,DOC_003_chunk_0002,2,". Modality C: Bachelor’s Thesis carried out within the framework of mobility, through an academic exchange program.  Modality D: Bachelor’s Thesis carried out in companies or entities, carried out during an educational cooperation agreement, within a mobility framework associated with an academic exchange program.",modality c bachelors thesis carried out within the framework of mobility through an academic exchange program modality d bachelors thesis carried out in companies or entities carried out during an educational cooperation agreement within a mobility framework associated with an academic exchange program
DOC_003,DOC_003_chunk_0003,3,"The Bachelor’s Thesis must be done individually. Exceptionally, the Head of Studies may authorize groups of two people, after written justification by the director of the Bachelor’s Thesis. The memory will have a maximum of 50 pages and may contain annexes in case you want to attach complementary information. This point does not affect the Bachelor’s Thesis of Double Degree ECO-EST.",the bachelors thesis must be done individually exceptionally the head of studies may authorize groups of two people after written justification by the director of the bachelors thesis the memory will have a maximum of 50 pages and may contain annexes in case you want to attach complementary information this point does not affect the bachelors thesis of double degree ecoest
DOC_003,DOC_003_chunk_0004,4,"The teaching load recognized to the teachers by the direction / authorization of a Bachelor’s Thesis, and by the participation in courts, is the one established by the current regulations of each university. As a guide, the student's dedication to the elaboration of works, must be 25h ' 1 credit, that is, a total of 18 ECTS25h / ECTS.450h of work.",the teaching load recognized to the teachers by the direction  authorization of a bachelors thesis and by the participation in courts is the one established by the current regulations of each university as a guide the students dedication to the elaboration of works must be 25h  1 credit that is a total of 18 ects25h  ects450h of work
DOC_003,DOC_003_chunk_0005,5,"The tribunal is responsible for evaluating the report of the work and the defense, in accordance with the objectives established in the teaching guide of the degree, and to communicate the qualification obtained to the student and the CTFG.",the tribunal is responsible for evaluating the report of the work and the defense in accordance with the objectives established in the teaching guide of the degree and to communicate the qualification obtained to the student and the ctfg
DOC_003,DOC_003_chunk_0006,6,"The members of the tribunal are proposed and appointed by the CTFG from among the teaching staff of the Departments that teach at the GE. The court is composed, at least, of: the president, who directs the entire process of action of the court; the secretary, who guards the evaluation act; a member; a substitute. Of the 4 members, two must be from the UB and two from the UPC",the members of the tribunal are proposed and appointed by the ctfg from among the teaching staff of the departments that teach at the ge the court is composed at least of the president who directs the entire process of action of the court the secretary who guards the evaluation act a member a substitute of the 4 members two must be from the ub and two from the upc
DOC_003,DOC_003_chunk_0007,7,". Of the 4 members, two must be from the UB and two from the UPC.  A limitation of 15 minutes is established from the start of the call for the student to present himself to the defense.  The indicative duration of the act will be 30 minutes, of which approximately 15 minutes will be devoted to the defense of the thesis.",of the 4 members two must be from the ub and two from the upc a limitation of 15 minutes is established from the start of the call for the student to present himself to the defense the indicative duration of the act will be 30 minutes of which approximately 15 minutes will be devoted to the defense of the thesis
DOC_003,DOC_003_chunk_0008,8,"Abstract and Keywords: A summary of the work in the language in which the Bachelor’s Thesis is written must be included, no more than 10 lines long, that synthesizes its essential content. Next, several keywords—no fewer than five and no more than ten—must be provided, indicating the topics addressed in the work",abstract and keywords a summary of the work in the language in which the bachelors thesis is written must be included no more than 10 lines long that synthesizes its essential content next several keywordsno fewer than five and no more than tenmust be provided indicating the topics addressed in the work
DOC_003,DOC_003_chunk_0009,9,".  If the language used in the work is one of the two official languages of the UB/UPC (Spanish and Catalan) or a third language other than English, the title, keywords, and an abstract of between 200 and 500 words must be added in English.",if the language used in the work is one of the two official languages of the ubupc spanish and catalan or a third language other than english the title keywords and an abstract of between 200 and 500 words must be added in english
DOC_003,DOC_003_chunk_0010,10,"The submission of the thesis will be made in PDF format and as a single file, through the dropbox that will be set up in the Bachelor’s Thesis area of the Virtual Campus. Therefore, it will not be necessary to print the work unless the Bachelor’s Thesis advisor or the Bachelor’s Thesis Committee explicitly requests it. In that case, the work must be presented printed on both sides of white or recycled DIN-A4 sheets.",the submission of the thesis will be made in pdf format and as a single file through the dropbox that will be set up in the bachelors thesis area of the virtual campus therefore it will not be necessary to print the work unless the bachelors thesis advisor or the bachelors thesis committee explicitly requests it in that case the work must be presented printed on both sides of white or recycled dina4 sheets
DOC_004,DOC_004_chunk_0000,0,International exchange program,international exchange program
DOC_004,DOC_004_chunk_0001,1,"Requirements for UB students on international mobility   12.2 Calls for mobility require that UB students meet, at a minimum, the following requirements: b) provide proof of the language proficiency level required by the foreign institution, as specified in the agreement signed with the UB c) have a minimum of 60 credits completed for undergraduate studies (or the first year completed)",requirements for ub students on international mobility 122 calls for mobility require that ub students meet at a minimum the following requirements b provide proof of the language proficiency level required by the foreign institution as specified in the agreement signed with the ub c have a minimum of 60 credits completed for undergraduate studies or the first year completed
DOC_004,DOC_004_chunk_0002,2,. One of the requirements to participate in the exchange programs is to have an NIE or DNI.,one of the requirements to participate in the exchange programs is to have an nie or dni
DOC_004,DOC_004_chunk_0003,3,"The mobility student is a full-time student; therefore, the number of credits that a UB student must take at the host university is, as a general rule, the one set by the UB's regulations on academic standing. For undergraduate students, between 23 and 30 ECTS for semester stays or between 46 and 60 ECTS for annual stays",the mobility student is a fulltime student therefore the number of credits that a ub student must take at the host university is as a general rule the one set by the ubs regulations on academic standing for undergraduate students between 23 and 30 ects for semester stays or between 46 and 60 ects for annual stays
DOC_004,DOC_004_chunk_0004,4,". Only in the case of students who have fewer than 60 credits remaining to complete their studies, the minimum number of credits to be taken in international mobility will be 15 credits per semester.",only in the case of students who have fewer than 60 credits remaining to complete their studies the minimum number of credits to be taken in international mobility will be 15 credits per semester
DOC_004,DOC_004_chunk_0005,5,"If you have previously been a beneficiary of an Erasmus+ mobility (studies and/or internships), the total duration of the mobility per student may not exceed 12 months per cycle of studies (Bachelor's, Master's).
It is necessary to meet the specific requirements for each requested destination (language level, specific language‐level certificate, minimum GPA, etc.) in order to be awarded it.",if you have previously been a beneficiary of an erasmus mobility studies andor internships the total duration of the mobility per student may not exceed 12 months per cycle of studies bachelors masters it is necessary to meet the specific requirements for each requested destination language level specific languagelevel certificate minimum gpa etc in order to be awarded it
DOC_004,DOC_004_chunk_0006,6,"Selection is carried out on a competitive basis, in accordance with the following evaluation criteria: GPA of the academic transcript: up to 10 points.",selection is carried out on a competitive basis in accordance with the following evaluation criteria gpa of the academic transcript up to 10 points
DOC_004,DOC_004_chunk_0007,7,"Students with fewer opportunities (in accordance with the circumstances specified in the call): up to 1 point, except for large families of general category, which will be 0.5 points. In the case of belonging to more than one of the included groups, you may only receive up to a maximum of 1 point.",students with fewer opportunities in accordance with the circumstances specified in the call up to 1 point except for large families of general category which will be 05 points in the case of belonging to more than one of the included groups you may only receive up to a maximum of 1 point
DOC_004,DOC_004_chunk_0008,8,"Center-established criteria, up to 2 points: Candidates who passed all credits enrolled in the previous academic year (2024-25): 2 points. Candidates who passed all but 1 of the total courses enrolled in the previous academic year (2024-25): 1 point.",centerestablished criteria up to 2 points candidates who passed all credits enrolled in the previous academic year 202425 2 points candidates who passed all but 1 of the total courses enrolled in the previous academic year 202425 1 point
DOC_004,DOC_004_chunk_0009,9,"In the event of a tie between two or more candidates, the following tie-breaking criteria will be applied: First, applications will be ranked based on the number of ECTS credits passed, in descending order. If the tie persists, the spot will be awarded to the applicant who has not previously participated in a mobility program",in the event of a tie between two or more candidates the following tiebreaking criteria will be applied first applications will be ranked based on the number of ects credits passed in descending order if the tie persists the spot will be awarded to the applicant who has not previously participated in a mobility program
DOC_004,DOC_004_chunk_0010,10,". If the tie persists after applying the above criteria, the spot will be awarded to the applicant with the highest score for the motivation statement in the Mobility-Online application.",if the tie persists after applying the above criteria the spot will be awarded to the applicant with the highest score for the motivation statement in the mobilityonline application
DOC_005,DOC_005_chunk_0000,0,General regulations of UB,general regulations of ub
DOC_005,DOC_005_chunk_0001,1,Information on the Grading Process: Grades for assessment activities must be made public no later than 14 calendar days after the tests have been administered or the assignments submitted.,information on the grading process grades for assessment activities must be made public no later than 14 calendar days after the tests have been administered or the assignments submitted
DOC_005,DOC_005_chunk_0002,2,"The final grade for the course must be made public within a maximum of 14 calendar days from the date the continuous assessment processes, the single assessment exam, or the re-evaluation conclude. It must be ensured that the grades are published 5 calendar days before the re-evaluation date.",the final grade for the course must be made public within a maximum of 14 calendar days from the date the continuous assessment processes the single assessment exam or the reevaluation conclude it must be ensured that the grades are published 5 calendar days before the reevaluation date
DOC_005,DOC_005_chunk_0003,3,"In the event that, for exceptional and duly justified reasons, a student or group of students cannot take an assessment, the course coordinator must take the necessary measures to ensure it can take place within the same academic period.",in the event that for exceptional and duly justified reasons a student or group of students cannot take an assessment the course coordinator must take the necessary measures to ensure it can take place within the same academic period
DOC_005,DOC_005_chunk_0004,4,"A student with a grade of 9.0 or higher may be awarded an honors grade. The number of honors may not exceed 5% of the students enrolled in a course during the relevant academic period, unless the number of enrolled students is fewer than 20: in that case, only one honor may be awarded.",a student with a grade of 90 or higher may be awarded an honors grade the number of honors may not exceed 5 of the students enrolled in a course during the relevant academic period unless the number of enrolled students is fewer than 20 in that case only one honor may be awarded
DOC_005,DOC_005_chunk_0005,5,"ECTS grading system at UB: On academic transcripts and on the European Supplement to the degree certificate for official bachelor's and master's degrees, ECTS grades are also indicated for passed courses, showing the ranking compared with the results of that same course in the two previous years",ects grading system at ub on academic transcripts and on the european supplement to the degree certificate for official bachelors and masters degrees ects grades are also indicated for passed courses showing the ranking compared with the results of that same course in the two previous years
DOC_005,DOC_005_chunk_0006,6,. Students who have passed a course are divided into five groups: the top 10% receive a grade of A; the next 25% receive a grade of B; the next 30% receive a grade of C; the next 25% receive a grade of D; and the final 10% receive a grade of E.,students who have passed a course are divided into five groups the top 10 receive a grade of a the next 25 receive a grade of b the next 30 receive a grade of c the next 25 receive a grade of d and the final 10 receive a grade of e
DOC_005,DOC_005_chunk_0007,7,"Once a course has been graded, it cannot be re-evaluated unless the student waives the grade obtained, provided it is a passing grade or an equivalent or higher grade. This waiver must be submitted in writing to the relevant instructor during the grade review period and results in a grade of “not presented.”",once a course has been graded it cannot be reevaluated unless the student waives the grade obtained provided it is a passing grade or an equivalent or higher grade this waiver must be submitted in writing to the relevant instructor during the grade review period and results in a grade of not presented
DOC_005,DOC_005_chunk_0008,8,"If the student commits any other irregularity in an assessment, that assessment is graded 0. If more than one irregularity occurs in the assessments of the same course during the same academic year, the final grade is 0.",if the student commits any other irregularity in an assessment that assessment is graded 0 if more than one irregularity occurs in the assessments of the same course during the same academic year the final grade is 0
DOC_006,DOC_006_chunk_0000,0,Credit recognition,credit recognition
DOC_006,DOC_006_chunk_0001,1,Credit recognition refers to the acceptance of credits obtained in previous official studies (at UB or other universities) that count toward the transcript of other official studies the student is pursuing for the purpose of obtaining an official degree,credit recognition refers to the acceptance of credits obtained in previous official studies at ub or other universities that count toward the transcript of other official studies the student is pursuing for the purpose of obtaining an official degree
DOC_006,DOC_006_chunk_0002,2,". To process the recognition request, regardless of whether the decision is positive or negative, the fee for academic record studies for convalidation, adaptation, transfer and recognition established, per academic year, in the Generalitat de Catalunya's Price Decree (€54.54 according to Decree 125/2025, of June 17). Under no circumstances can credits corresponding to the Final Degree Project be recognized.",to process the recognition request regardless of whether the decision is positive or negative the fee for academic record studies for convalidation adaptation transfer and recognition established per academic year in the generalitat de catalunyas price decree 5454 according to decree 1252025 of june 17 under no circumstances can credits corresponding to the final degree project be recognized
DOC_006,DOC_006_chunk_0003,3,"The University of Barcelona recognizes six credits, countable as electives, for participation in institutional university activities of a cultural, sporting, student representation, solidarity, and cooperation nature, as well as other activities organized by the Faculty. The tuition fee is set each academic year in the Generalitat de Catalunya's Decree on Fees",the university of barcelona recognizes six credits countable as electives for participation in institutional university activities of a cultural sporting student representation solidarity and cooperation nature as well as other activities organized by the faculty the tuition fee is set each academic year in the generalitat de catalunyas decree on fees
DOC_006,DOC_006_chunk_0004,4,". The tuition fee is set each academic year in the Generalitat de Catalunya's Decree on Fees. For the 2025–2026 academic year, the fee for a recognized credit is 20% of the regular credit fee.",the tuition fee is set each academic year in the generalitat de catalunyas decree on fees for the 20252026 academic year the fee for a recognized credit is 20 of the regular credit fee
DOC_006,DOC_006_chunk_0005,5,"Once your credit transfer request has been approved, you must register for the transferred credits so they can be added to your academic record. You can do this during the September registration period or the February registration extension.",once your credit transfer request has been approved you must register for the transferred credits so they can be added to your academic record you can do this during the september registration period or the february registration extension
DOC_006,DOC_006_chunk_0006,6,"The University of Barcelona recognizes six credits, countable as electives, for participation in institutional university activities of a cultural, sporting, student representation, solidarity, and cooperation nature, as well as other activities organized by the Faculty.",the university of barcelona recognizes six credits countable as electives for participation in institutional university activities of a cultural sporting student representation solidarity and cooperation nature as well as other activities organized by the faculty
DOC_006,DOC_006_chunk_0007,7,"Work and professional experience may be recognized if it is related to the title's competencies, and it only entitles the student to the recognition of 6 elective credits for external practicum courses. The student requesting this recognition must provide documentation showing that, over the past five years, they have worked a minimum of 1,500 hours under an employment contract and/or as a self-employed individual",work and professional experience may be recognized if it is related to the titles competencies and it only entitles the student to the recognition of 6 elective credits for external practicum courses the student requesting this recognition must provide documentation showing that over the past five years they have worked a minimum of 1500 hours under an employment contract andor as a selfemployed individual
DOC_006,DOC_006_chunk_0008,8,. These hours of work and professional experience must be related to the competencies associated with the degree for which recognition is being requested.,these hours of work and professional experience must be related to the competencies associated with the degree for which recognition is being requested
DOC_007,DOC_007_chunk_0000,0,University Academic Progression Regulations,university academic progression regulations
DOC_007,DOC_007_chunk_0001,1,"Enrollment and retention conditions during the first year of entry into a university degree program: In the first year a student enters a UB degree program, they must enroll in either 60 credits (full-time) or 30 (part-time mode). If they have enrolled in 60 credits, by the end of the first year they must have passed at least 18 credits to remain in the degree program",enrollment and retention conditions during the first year of entry into a university degree program in the first year a student enters a ub degree program they must enroll in either 60 credits fulltime or 30 parttime mode if they have enrolled in 60 credits by the end of the first year they must have passed at least 18 credits to remain in the degree program
DOC_007,DOC_007_chunk_0002,2,". If they have enrolled in 30 credits, by the end of the first year they must have passed at least 6 credits to remain in the degree program.",if they have enrolled in 30 credits by the end of the first year they must have passed at least 6 credits to remain in the degree program
DOC_007,DOC_007_chunk_0003,3,"Enrollment and retention conditions from the second year of admission and for first-year students who have previously taken, in whole or in part, other official university studies at any university: The student may enroll in a minimum of 18 credits (unless fewer are needed to complete the program) and a maximum of 60",enrollment and retention conditions from the second year of admission and for firstyear students who have previously taken in whole or in part other official university studies at any university the student may enroll in a minimum of 18 credits unless fewer are needed to complete the program and a maximum of 60
DOC_007,DOC_007_chunk_0004,4,". Students are considered part-time when they enroll in between 18 and 45 credits, and full-time when they enroll in between 46 and 60 credits. Exceptionally, and when justified, the Head of Studies, by express resolution, may authorize enrollment of more than 60 credits, up to a maximum of 78 credits per academic year",students are considered parttime when they enroll in between 18 and 45 credits and fulltime when they enroll in between 46 and 60 credits exceptionally and when justified the head of studies by express resolution may authorize enrollment of more than 60 credits up to a maximum of 78 credits per academic year
DOC_007,DOC_007_chunk_0005,5,". If the student wants to enroll in required credits from an upper-level course, they must also enroll in all outstanding required credits from lower-level courses. A student may not remain in the degree program for a second consecutive year of enrollment in which they fail to pass at least 50% of the credits enrolled. When a student has fewer than 10% of the credits remaining to complete the degree, they must enroll in all of them.",if the student wants to enroll in required credits from an upperlevel course they must also enroll in all outstanding required credits from lowerlevel courses a student may not remain in the degree program for a second consecutive year of enrollment in which they fail to pass at least 50 of the credits enrolled when a student has fewer than 10 of the credits remaining to complete the degree they must enroll in all of them
DOC_007,DOC_007_chunk_0006,6,"Enrollment and retention conditions for the first year of entry into the dual-degree undergraduate program: Full-time track: in the first year the student must enroll in a minimum of 60 credits and a maximum of 90.  At the end of the first year, the student must have passed at least 24 credits to remain in the dual-degree program. Part-time mode: in the first year the student must enroll in between a minimum of 30 credits and a maximum of 45",enrollment and retention conditions for the first year of entry into the dualdegree undergraduate program fulltime track in the first year the student must enroll in a minimum of 60 credits and a maximum of 90 at the end of the first year the student must have passed at least 24 credits to remain in the dualdegree program parttime mode in the first year the student must enroll in between a minimum of 30 credits and a maximum of 45
DOC_007,DOC_007_chunk_0007,7,". At the end of the first year, the student must have passed at least 12 credits to remain in the dual-degree program.",at the end of the first year the student must have passed at least 12 credits to remain in the dualdegree program
DOC_007,DOC_007_chunk_0008,8,Enrollment and retention conditions from the second year of admission to the dual-degree undergraduate track: The student may enroll in a minimum of 30 credits (unless fewer are needed to complete the degree) and a maximum of 90.,enrollment and retention conditions from the second year of admission to the dualdegree undergraduate track the student may enroll in a minimum of 30 credits unless fewer are needed to complete the degree and a maximum of 90
DOC_008,DOC_008_chunk_0000,0,Withdrawal and Academic Limitation Regulations,withdrawal and academic limitation regulations
DOC_008,DOC_008_chunk_0001,1,"Limit on enrollment duration in a bachelor's program or in a dual bachelor's degree track.In 240-credit degree programs, a full-time student has a maximum of seven years of effective enrollment to complete the studies. In dual degree programs with a total of 248 to 360 credits, the full-time student has a maximum of eight years of effective enrollment to complete the joint program",limit on enrollment duration in a bachelors program or in a dual bachelors degree trackin 240credit degree programs a fulltime student has a maximum of seven years of effective enrollment to complete the studies in dual degree programs with a total of 248 to 360 credits the fulltime student has a maximum of eight years of effective enrollment to complete the joint program
DOC_008,DOC_008_chunk_0002,2,. The part-time student will have three additional years of effective enrollment to complete their studies beyond those stipulated in the previous sections.,the parttime student will have three additional years of effective enrollment to complete their studies beyond those stipulated in the previous sections
DOC_008,DOC_008_chunk_0003,3,"For the purposes of the preceding sections, full-time enrollment is defined as registering an annual average of forty-six credits or more during the first five years of effective enrollment; if this average is below forty-six credits, enrollment is considered part-time.",for the purposes of the preceding sections fulltime enrollment is defined as registering an annual average of fortysix credits or more during the first five years of effective enrollment if this average is below fortysix credits enrollment is considered parttime
DOC_008,DOC_008_chunk_0004,4,"Awarded credits and transferred credits do not count as completed credits for retention purposes, nor are they taken into account when determining the number of credits that must be enrolled. In cases of semiannual enrollment, the calculation of completed credits and credits to be enrolled is made annually.",awarded credits and transferred credits do not count as completed credits for retention purposes nor are they taken into account when determining the number of credits that must be enrolled in cases of semiannual enrollment the calculation of completed credits and credits to be enrolled is made annually
